date,open,high,low,close
12/03/2020 23:00,6.3169,6.3193,6.3146,6.3159
12/03/2020 23:10,6.3159,6.3192,6.3141,6.3167
12/03/2020 23:20,6.3165,6.3173,6.314,6.3147
12/03/2020 23:30,6.3148,6.3155,6.3136,6.3143
12/03/2020 23:40,6.3143,6.3158,6.3137,6.3142
12/03/2020 23:50,6.3142,6.3162,6.3132,6.3138
13/03/2020 00:00,6.3138,6.3161,6.313,6.3154
13/03/2020 00:10,6.3155,6.3166,6.3127,6.3165
13/03/2020 00:20,6.3165,6.3167,6.3144,6.3154
13/03/2020 00:30,6.3154,6.3194,6.3144,6.317
13/03/2020 00:40,6.317,6.3193,6.3153,6.3166
13/03/2020 00:50,6.3166,6.3171,6.3152,6.3162
13/03/2020 01:00,6.3162,6.3185,6.315,6.3166
13/03/2020 01:10,6.3166,6.3192,6.315,6.3161
13/03/2020 01:20,6.3161,6.3183,6.3149,6.3167
13/03/2020 01:30,6.3167,6.3171,6.3144,6.3162
13/03/2020 01:40,6.3162,6.3174,6.3151,6.3153
13/03/2020 01:50,6.3153,6.3176,6.3146,6.317
13/03/2020 02:00,6.317,6.3171,6.3153,6.3153
13/03/2020 02:10,6.3153,6.3171,6.3116,6.3139
13/03/2020 02:20,6.3139,6.3156,6.3128,6.3146
13/03/2020 02:30,6.3146,6.3156,6.3129,6.3134
13/03/2020 02:40,6.3134,6.3148,6.3119,6.3127
13/03/2020 02:50,6.3127,6.3158,6.3123,6.313
13/03/2020 03:00,6.313,6.3146,6.3095,6.3126
13/03/2020 03:10,6.3126,6.3142,6.3099,6.3117
13/03/2020 03:20,6.3117,6.3167,6.311,6.3125
13/03/2020 03:30,6.3125,6.3139,6.3093,6.3124
13/03/2020 03:40,6.3124,6.3182,6.3118,6.3166
13/03/2020 03:50,6.3166,6.3205,6.3163,6.3183
13/03/2020 04:00,6.3183,6.32,6.3166,6.3185
13/03/2020 04:10,6.3185,6.3203,6.3174,6.318
13/03/2020 04:20,6.318,6.3191,6.3167,6.3175
13/03/2020 04:30,6.3175,6.3193,6.3166,6.317
13/03/2020 04:40,6.317,6.321,6.3161,6.3202
13/03/2020 04:50,6.3202,6.3203,6.3158,6.3163
13/03/2020 05:00,6.3163,6.3223,6.3148,6.3167
13/03/2020 05:10,6.3167,6.3185,6.3147,6.317
13/03/2020 05:20,6.317,6.3191,6.3146,6.3171
13/03/2020 05:30,6.3169,6.3192,6.3156,6.319
13/03/2020 05:40,6.319,6.3205,6.3145,6.3149
13/03/2020 05:50,6.3149,6.3172,6.3137,6.3138
13/03/2020 06:00,6.3138,6.3175,6.3125,6.3138
13/03/2020 06:10,6.3138,6.3171,6.3129,6.3166
13/03/2020 06:20,6.3166,6.3172,6.3138,6.3147
13/03/2020 06:30,6.3146,6.3171,6.3127,6.3156
13/03/2020 06:40,6.3156,6.3175,6.3028,6.3041
13/03/2020 06:50,6.3041,6.3083,6.3038,6.3068
13/03/2020 07:00,6.3068,6.3094,6.3029,6.3053
13/03/2020 07:10,6.3053,6.3077,6.2966,6.2973
13/03/2020 07:20,6.2973,6.3036,6.2862,6.2921
13/03/2020 07:30,6.2921,6.2966,6.291,6.2948
13/03/2020 07:40,6.2948,6.3035,6.2945,6.3034
13/03/2020 07:50,6.3034,6.3075,6.2957,6.3005
13/03/2020 08:00,6.3005,6.3124,6.3005,6.3101
13/03/2020 08:10,6.3101,6.3122,6.3073,6.3118
13/03/2020 08:20,6.3118,6.318,6.3108,6.3136
13/03/2020 08:30,6.3136,6.3189,6.3129,6.3184
13/03/2020 08:40,6.3184,6.3204,6.3174,6.3184
13/03/2020 08:50,6.3184,6.3206,6.3161,6.3168
13/03/2020 09:00,6.3168,6.3175,6.3045,6.3112
13/03/2020 09:10,6.3112,6.3143,6.2941,6.3074
13/03/2020 09:20,6.3074,6.311,6.2923,6.2927
13/03/2020 09:30,6.2927,6.2935,6.2813,6.2876
13/03/2020 09:40,6.2876,6.2878,6.2685,6.2835
13/03/2020 09:50,6.2835,6.2878,6.2791,6.2871
13/03/2020 10:00,6.2871,6.2934,6.2838,6.2927
13/03/2020 10:10,6.2927,6.2969,6.2899,6.294
13/03/2020 10:20,6.294,6.2945,6.2914,6.2939
13/03/2020 10:30,6.2939,6.2971,6.2871,6.2901
13/03/2020 10:40,6.2901,6.291,6.2851,6.289
13/03/2020 10:50,6.289,6.2899,6.2791,6.2816
13/03/2020 11:00,6.2816,6.293,6.2797,6.2892
13/03/2020 11:10,6.2892,6.2893,6.2786,6.2787
13/03/2020 11:20,6.2787,6.2804,6.2761,6.2783
13/03/2020 11:30,6.2783,6.2797,6.2738,6.2738
13/03/2020 11:40,6.2738,6.2742,6.259,6.2716
13/03/2020 11:50,6.2715,6.2715,6.2521,6.2618
13/03/2020 12:00,6.2618,6.2675,6.2579,6.2622
13/03/2020 12:10,6.2622,6.2673,6.2608,6.2662
13/03/2020 12:20,6.2662,6.2738,6.262,6.269
13/03/2020 12:30,6.269,6.2744,6.2652,6.2737
13/03/2020 12:40,6.2736,6.2838,6.2734,6.2826
13/03/2020 12:50,6.2826,6.2838,6.2692,6.272
13/03/2020 13:00,6.272,6.2798,6.272,6.2743
13/03/2020 13:10,6.2743,6.2816,6.2725,6.2735
13/03/2020 13:20,6.2735,6.2735,6.2654,6.2669
13/03/2020 13:30,6.2669,6.2709,6.2626,6.2668
13/03/2020 13:40,6.2668,6.2679,6.26,6.2606
13/03/2020 13:50,6.2606,6.2783,6.2604,6.2734
13/03/2020 14:00,6.2734,6.2809,6.272,6.2786
13/03/2020 14:10,6.2786,6.2953,6.2785,6.2828
13/03/2020 14:20,6.2828,6.2915,6.2813,6.2907
13/03/2020 14:30,6.2907,6.3027,6.2907,6.3004
13/03/2020 14:40,6.3004,6.3004,6.2899,6.2926
13/03/2020 14:50,6.2926,6.2962,6.2919,6.294
13/03/2020 15:00,6.294,6.2941,6.2898,6.292
13/03/2020 15:10,6.292,6.2948,6.2883,6.2927
13/03/2020 15:20,6.2927,6.2942,6.2887,6.29
13/03/2020 15:30,6.29,6.2977,6.2892,6.2972
13/03/2020 15:40,6.2972,6.3122,6.2967,6.2978
13/03/2020 15:50,6.2978,6.3052,6.2976,6.3052
13/03/2020 16:00,6.3052,6.3108,6.3052,6.3093
13/03/2020 16:10,6.3093,6.31,6.2995,6.2998
13/03/2020 16:20,6.2998,6.3068,6.2989,6.3064
13/03/2020 16:30,6.3064,6.3071,6.3026,6.306
13/03/2020 16:40,6.306,6.3116,6.3044,6.3049
13/03/2020 16:50,6.3049,6.3052,6.2991,6.3017
13/03/2020 17:00,6.3017,6.3117,6.3009,6.3117
13/03/2020 17:10,6.3117,6.3211,6.3115,6.3194
13/03/2020 17:20,6.3194,6.3198,6.3133,6.3135
13/03/2020 17:30,6.3134,6.3197,6.3134,6.3194
13/03/2020 17:40,6.3194,6.3204,6.3162,6.3203
13/03/2020 17:50,6.3203,6.3227,6.3198,6.3224
13/03/2020 18:00,6.3224,6.3256,6.3193,6.3229
13/03/2020 18:10,6.3229,6.327,6.3224,6.327
13/03/2020 18:20,6.327,6.3297,6.3236,6.3289
13/03/2020 18:30,6.3289,6.3344,6.3262,6.3285
13/03/2020 18:40,6.3285,6.33,6.3278,6.3282
13/03/2020 18:50,6.3283,6.3298,6.3254,6.3291
13/03/2020 19:00,6.3291,6.33,6.3289,6.3296
13/03/2020 19:10,6.3296,6.3303,6.3289,6.3291
13/03/2020 19:20,6.3291,6.3292,6.3263,6.327
13/03/2020 19:30,6.3271,6.3284,6.3269,6.3274
13/03/2020 19:40,6.3274,6.335,6.3272,6.3297
13/03/2020 19:50,6.3297,6.3311,6.3292,6.3297
13/03/2020 20:00,6.3297,6.3321,6.3271,6.3294
13/03/2020 20:10,6.3295,6.3332,6.3265,6.3324
13/03/2020 20:20,6.3324,6.3336,6.332,6.3336
13/03/2020 20:30,6.3336,6.3344,6.3323,6.3335
13/03/2020 20:40,6.3334,6.3343,6.3324,6.3334
13/03/2020 20:50,6.3334,6.3352,6.3331,6.3349
13/03/2020 21:00,6.3349,6.337,6.3323,6.3326
13/03/2020 21:10,6.3326,6.3368,6.3325,6.3349
13/03/2020 21:20,6.3349,6.3373,6.3341,6.3373
13/03/2020 21:30,6.3373,6.3378,6.3342,6.3348
13/03/2020 21:40,6.3347,6.3359,6.3346,6.3353
13/03/2020 21:50,6.3353,6.3357,6.3332,6.3339
13/03/2020 22:00,6.3339,6.3375,6.33,6.3339
13/03/2020 22:10,6.3339,6.334,6.3295,6.3305
13/03/2020 22:20,6.3305,6.3321,6.3301,6.3318
13/03/2020 22:30,6.3318,6.3359,6.3294,6.3351
13/03/2020 22:40,6.3351,6.3368,6.3317,6.3347
13/03/2020 22:50,6.3347,6.3374,6.3292,6.3331
15/03/2020 20:00,6.3313,6.3404,6.3267,6.3348
15/03/2020 20:10,6.3346,6.3423,6.3316,6.3345
15/03/2020 20:20,6.3345,6.3359,6.331,6.3347
15/03/2020 20:30,6.3347,6.3427,6.3316,6.3369
15/03/2020 20:40,6.3369,6.3382,6.332,6.3326
15/03/2020 20:50,6.3326,6.3327,6.332,6.3326
15/03/2020 21:00,6.3327,6.3333,6.3324,6.3332
15/03/2020 21:10,6.3331,6.3342,6.3309,6.3328
15/03/2020 21:40,6.3325,6.3327,6.3323,6.3323
15/03/2020 21:50,6.3323,6.3335,6.3319,6.3335
15/03/2020 22:00,6.3335,6.3365,6.3315,6.3365
15/03/2020 22:10,6.3365,6.3387,6.3332,6.3375
15/03/2020 22:20,6.3375,6.338,6.3362,6.3367
15/03/2020 22:30,6.3387,6.3419,6.3362,6.3364
15/03/2020 22:40,6.3364,6.3406,6.3349,6.3375
15/03/2020 22:50,6.3388,6.3388,6.335,6.3375
15/03/2020 23:00,6.3371,6.3412,6.334,6.3375
15/03/2020 23:10,6.3375,6.3392,6.3114,6.3117
15/03/2020 23:20,6.3117,6.312,6.2907,6.2953
15/03/2020 23:30,6.2953,6.2961,6.2826,6.2849
15/03/2020 23:40,6.2859,6.2925,6.2837,6.2885
15/03/2020 23:50,6.2885,6.2921,6.2846,6.2886
16/03/2020 00:00,6.29,6.2922,6.2835,6.2887
16/03/2020 00:10,6.2887,6.298,6.2845,6.2962
16/03/2020 00:20,6.2962,6.3102,6.2951,6.3073
16/03/2020 00:30,6.3075,6.3101,6.3043,6.3076
16/03/2020 00:40,6.3076,6.3197,6.3052,6.3181
16/03/2020 00:50,6.3181,6.324,6.3143,6.3232
16/03/2020 01:00,6.3232,6.3276,6.3216,6.3229
16/03/2020 01:10,6.3229,6.3306,6.3137,6.3207
16/03/2020 01:20,6.3207,6.3216,6.3099,6.312
16/03/2020 01:30,6.312,6.3172,6.3094,6.3112
16/03/2020 01:40,6.3112,6.3147,6.2998,6.3043
16/03/2020 01:50,6.3043,6.3063,6.2896,6.292
16/03/2020 02:00,6.2926,6.2976,6.2899,6.2949
16/03/2020 02:10,6.2949,6.2983,6.291,6.2955
16/03/2020 02:20,6.2951,6.297,6.2909,6.2946
16/03/2020 02:30,6.2946,6.2972,6.2913,6.2939
16/03/2020 02:40,6.2939,6.2993,6.2919,6.2962
16/03/2020 02:50,6.2948,6.2994,6.292,6.2977
16/03/2020 03:00,6.2969,6.3086,6.2919,6.3067
